loan_status,issue_d,loan_amnt,funded_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,purpose,addr_state,dti,delinq_2yrs,earliest_cr_line,fico_range_low,inq_last_6mths,mths_since_last_delinq,open_acc,pub_rec,revol_bal,revol_util,total_acc,application_type,mort_acc,pub_rec_bankruptcies,fico_range_high
Fully Paid,May-2013,30000.0,27000.0, 36 months,8.89,222.21,D,G5,10+ years,MORTGAGE,57582.42,Source Verified,other,TX,24.49,3.0,Apr-2000,775.0,0.0,54.0,6.0,0.0,46205.55,3.9,54.0,Individual,4.0,1.0,779.0
Charged Off,Jul-2017,33500.0,7500.0, 60 months,22.65,1216.21,B,A3,3 years,OWN,120794.7,Not Verified,other,NY,30.13,1.0,Aug-2005,820.0,1.0,56.0,19.0,2.0,53826.59,12.7,20.0,Individual,1.0,1.0,824.0
Charged Off,Jan-2012,13500.0,6000.0, 60 months,26.15,1407.25,D,D1,1 year,OWN,104278.4,Not Verified,debt_consolidation,FL,37.44,1.0,Jul-1991,730.0,5.0,42.0,10.0,0.0,49402.36,50.0,21.0,Individual,4.0,1.0,734.0
Fully Paid,Jun-2017,5500.0,35000.0, 60 months,11.32,921.6,A,E5,3 years,RENT,78251.6,Verified,debt_consolidation,IL,4.67,2.0,Dec-2002,710.0,0.0,13.0,4.0,0.0,11052.46,74.6,22.0,Joint App,1.0,0.0,714.0
Fully Paid,May-2017,36000.0,11500.0, 60 months,12.37,1074.23,E,A4,1 year,OWN,104456.65,Verified,credit_card,TX,37.06,0.0,Aug-2003,685.0,5.0,14.0,11.0,0.0,5488.21,46.4,5.0,Joint App,2.0,0.0,689.0
Current,Apr-2017,6500.0,31000.0, 60 months,29.99,1078.97,F,D1,10+ years,RENT,93925.21,Not Verified,other,NY,24.06,1.0,Mar-2000,830.0,5.0,63.0,4.0,0.0,10166.44,1.7,13.0,Individual,0.0,0.0,834.0
Current,Jul-2016,24000.0,6000.0, 36 months,12.07,1489.43,G,E4,10+ years,OWN,45996.56,Not Verified,other,IL,30.67,0.0,May-2004,730.0,0.0,113.0,4.0,0.0,47011.84,18.4,21.0,Individual,4.0,1.0,734.0
Fully Paid,Mar-2015,10000.0,12000.0, 60 months,16.31,532.06,C,E4,< 1 year,RENT,26733.18,Verified,debt_consolidation,FL,2.15,3.0,Nov-1999,810.0,0.0,71.0,22.0,1.0,54829.87,58.9,59.0,Joint App,2.0,0.0,814.0
Charged Off,Oct-2016,5500.0,12000.0, 60 months,16.37,269.4,B,A4,5 years,RENT,77050.57,Verified,debt_consolidation,TX,20.25,3.0,Jul-2000,720.0,4.0,52.0,16.0,1.0,55526.93,69.4,15.0,Individual,4.0,0.0,724.0
Current,Nov-2013,31500.0,12000.0, 60 months,11.78,793.18,D,B5,1 year,RENT,83087.83,Source Verified,home_improvement,CA,24.91,3.0,Feb-2002,835.0,0.0,111.0,13.0,0.0,17892.95,3.3,32.0,Individual,1.0,0.0,839.0
Fully Paid,May-2017,6500.0,27500.0, 60 months,25.16,813.88,E,B3,< 1 year,MORTGAGE,115183.66,Source Verified,home_improvement,CA,12.27,0.0,Dec-2005,820.0,3.0,82.0,7.0,2.0,50420.48,4.3,34.0,Individual,1.0,1.0,824.0
Fully Paid,Oct-2015,27000.0,37000.0, 36 months,25.06,291.53,G,E3,10+ years,MORTGAGE,34139.39,Source Verified,other,NY,17.27,2.0,Dec-1994,715.0,0.0,86.0,23.0,2.0,32174.13,26.1,24.0,Joint App,2.0,0.0,719.0
Fully Paid,Feb-2015,28000.0,36500.0, 60 months,14.98,931.27,A,C4,< 1 year,OWN,34757.18,Not Verified,other,NY,22.17,2.0,Jan-1996,750.0,3.0,69.0,19.0,2.0,49367.51,8.4,55.0,Joint App,4.0,0.0,754.0
Charged Off,Jun-2015,3000.0,30000.0, 36 months,26.68,50.76,B,E1,1 year,OWN,78900.29,Not Verified,debt_consolidation,FL,22.1,3.0,May-1998,805.0,2.0,91.0,18.0,1.0,32901.89,54.2,9.0,Joint App,2.0,0.0,809.0
Fully Paid,Nov-2015,7500.0,8500.0, 60 months,10.75,1393.67,B,F1,< 1 year,MORTGAGE,57371.32,Not Verified,debt_consolidation,TX,1.67,0.0,Jan-1994,700.0,4.0,60.0,7.0,2.0,8753.59,12.4,52.0,Individual,3.0,1.0,704.0
Current,Apr-2012,32000.0,38500.0, 60 months,5.41,418.92,B,F5,3 years,OWN,19313.18,Verified,home_improvement,IL,17.58,2.0,Sep-1996,660.0,5.0,74.0,5.0,1.0,4753.17,64.8,45.0,Joint App,1.0,1.0,664.0
Charged Off,Dec-2012,21000.0,22000.0, 36 months,19.92,88.15,D,B2,3 years,OWN,74986.61,Not Verified,home_improvement,TX,8.55,0.0,Jan-1997,710.0,2.0,73.0,5.0,1.0,57433.15,77.7,21.0,Joint App,3.0,1.0,714.0
Fully Paid,Sep-2013,5500.0,22500.0, 60 months,30.75,189.13,G,G3,1 year,OWN,19703.4,Not Verified,other,IL,36.67,2.0,Apr-1996,765.0,3.0,90.0,2.0,0.0,25548.15,97.1,46.0,Individual,3.0,0.0,769.0
Current,Oct-2012,40000.0,28500.0, 60 months,6.29,383.17,A,B2,< 1 year,OWN,33956.86,Source Verified,home_improvement,TX,39.06,3.0,Mar-1998,685.0,3.0,107.0,29.0,2.0,21031.24,94.8,28.0,Joint App,4.0,0.0,689.0
Current,Jan-2015,11000.0,31000.0, 60 months,10.62,432.64,F,A2,< 1 year,OWN,134727.41,Source Verified,home_improvement,NY,11.99,0.0,Feb-2000,720.0,5.0,35.0,12.0,0.0,21378.19,27.3,58.0,Individual,0.0,1.0,724.0
Fully Paid,Jul-2016,1000.0,38500.0, 36 months,18.58,78.23,E,A3,10+ years,MORTGAGE,178961.76,Not Verified,credit_card,FL,7.01,0.0,Dec-2003,825.0,1.0,83.0,20.0,1.0,22736.06,2.9,6.0,Joint App,1.0,0.0,829.0
Fully Paid,Jun-2016,37500.0,24000.0, 36 months,26.03,440.65,E,B5,10+ years,OWN,28871.38,Not Verified,debt_consolidation,TX,8.78,3.0,Feb-1996,670.0,1.0,3.0,29.0,2.0,56699.81,32.9,5.0,Joint App,0.0,0.0,674.0
Fully Paid,Mar-2015,1500.0,25000.0, 60 months,7.58,313.62,E,G3,10+ years,OWN,49136.88,Source Verified,other,NY,19.11,0.0,Dec-2006,665.0,2.0,63.0,28.0,0.0,3762.28,70.8,34.0,Joint App,2.0,0.0,669.0
Fully Paid,Nov-2017,22500.0,30000.0, 60 months,15.42,586.57,A,B1,3 years,RENT,61425.08,Verified,other,TX,34.98,2.0,Aug-1999,735.0,4.0,107.0,10.0,1.0,7143.68,6.0,56.0,Joint App,3.0,1.0,739.0
Fully Paid,Nov-2015,40000.0,11000.0, 60 months,24.43,596.2,F,E2,3 years,MORTGAGE,174335.37,Source Verified,debt_consolidation,FL,20.0,2.0,Jun-2004,660.0,5.0,77.0,15.0,0.0,47379.09,36.0,7.0,Joint App,3.0,1.0,664.0
Current,Jul-2012,23500.0,13000.0, 60 months,14.81,528.34,B,C1,5 years,MORTGAGE,44546.04,Not Verified,home_improvement,NY,2.22,1.0,Apr-1992,665.0,1.0,32.0,14.0,1.0,32964.57,29.8,47.0,Joint App,3.0,0.0,669.0
Fully Paid,Mar-2017,24000.0,25500.0, 36 months,10.13,512.05,D,A5,5 years,RENT,44975.34,Verified,credit_card,FL,1.6,3.0,Jun-1993,690.0,0.0,72.0,2.0,1.0,7712.21,21.9,56.0,Individual,3.0,1.0,694.0
Fully Paid,Dec-2015,16000.0,3500.0, 60 months,10.3,161.9,E,D2,3 years,RENT,151635.57,Not Verified,credit_card,IL,9.1,3.0,Feb-1999,675.0,3.0,42.0,23.0,0.0,2067.61,70.6,31.0,Individual,4.0,0.0,679.0
Current,May-2016,6000.0,13500.0, 36 months,15.8,67.05,E,A2,1 year,MORTGAGE,47816.52,Verified,other,TX,33.71,1.0,May-1997,810.0,3.0,51.0,18.0,2.0,13454.06,65.9,52.0,Joint App,4.0,1.0,814.0
Charged Off,Nov-2015,23500.0,29000.0, 60 months,17.57,327.11,C,D1,3 years,RENT,92348.16,Not Verified,other,NY,24.86,0.0,Dec-1999,680.0,2.0,27.0,12.0,1.0,15648.64,53.5,46.0,Individual,2.0,1.0,684.0
Current,Oct-2015,36000.0,39500.0, 60 months,27.36,1142.27,C,D3,< 1 year,MORTGAGE,24679.15,Source Verified,debt_consolidation,TX,22.52,0.0,Mar-1993,755.0,1.0,74.0,17.0,1.0,852.78,91.1,15.0,Joint App,4.0,0.0,759.0
Current,Aug-2012,4500.0,21500.0, 60 months,21.74,1486.49,D,D5,< 1 year,MORTGAGE,54028.14,Verified,credit_card,IL,12.76,0.0,Jul-1999,790.0,5.0,23.0,22.0,2.0,12965.43,10.3,51.0,Joint App,0.0,0.0,794.0
Fully Paid,Oct-2015,35500.0,16500.0, 60 months,22.97,1394.93,A,B3,5 years,MORTGAGE,22120.1,Verified,other,CA,37.18,3.0,Oct-2003,775.0,5.0,53.0,2.0,0.0,44299.14,15.0,43.0,Individual,3.0,1.0,779.0
Fully Paid,Jun-2017,17000.0,18000.0, 36 months,30.46,771.2,F,F4,10+ years,RENT,31784.68,Verified,other,IL,13.25,2.0,Aug-2004,780.0,4.0,112.0,20.0,1.0,51326.02,38.3,4.0,Joint App,2.0,0.0,784.0
Current,Jan-2014,22000.0,28000.0, 36 months,15.84,811.78,A,E1,< 1 year,OWN,99063.94,Not Verified,debt_consolidation,TX,33.4,2.0,Dec-1994,725.0,3.0,90.0,26.0,2.0,53894.15,65.6,35.0,Individual,4.0,1.0,729.0
Current,Feb-2016,7500.0,22500.0, 36 months,15.63,492.43,D,B1,< 1 year,OWN,58107.89,Source Verified,other,IL,35.84,0.0,Dec-1996,820.0,1.0,49.0,22.0,1.0,23394.84,58.4,40.0,Individual,2.0,1.0,824.0
Current,Mar-2012,25500.0,1500.0, 60 months,28.94,1167.69,E,D4,< 1 year,MORTGAGE,49441.06,Not Verified,credit_card,FL,19.33,3.0,Jul-2000,670.0,2.0,116.0,19.0,0.0,19164.82,7.4,48.0,Joint App,0.0,0.0,674.0
Fully Paid,May-2014,8000.0,22000.0, 36 months,11.59,1154.19,A,A1,5 years,RENT,38206.09,Verified,home_improvement,FL,35.77,2.0,May-2000,675.0,0.0,1.0,4.0,0.0,59991.65,95.8,47.0,Individual,3.0,1.0,679.0
Current,Dec-2014,11500.0,16500.0, 60 months,23.98,1271.08,G,G3,1 year,RENT,52449.51,Not Verified,debt_consolidation,IL,11.07,3.0,Nov-2005,815.0,1.0,115.0,22.0,2.0,46160.43,30.5,30.0,Individual,4.0,0.0,819.0
Charged Off,Sep-2018,29500.0,28500.0, 36 months,24.62,1346.39,C,F2,1 year,RENT,71730.25,Not Verified,home_improvement,CA,26.34,1.0,Nov-1997,670.0,2.0,42.0,23.0,2.0,32241.12,35.9,20.0,Individual,0.0,1.0,674.0
Fully Paid,Jun-2013,2500.0,35500.0, 36 months,7.8,668.49,A,C1,< 1 year,MORTGAGE,107985.23,Verified,home_improvement,TX,3.52,2.0,Jun-2003,695.0,2.0,98.0,15.0,2.0,15286.29,62.4,14.0,Joint App,0.0,0.0,699.0
Charged Off,Nov-2013,18500.0,39000.0, 36 months,17.29,1157.31,E,E3,10+ years,MORTGAGE,12393.31,Source Verified,home_improvement,CA,18.96,2.0,Sep-2007,690.0,0.0,113.0,18.0,0.0,19278.33,94.5,8.0,Individual,3.0,1.0,694.0
Charged Off,Oct-2014,24000.0,25000.0, 36 months,10.43,1215.41,D,E5,3 years,RENT,36349.78,Not Verified,other,NY,8.69,1.0,Dec-1995,665.0,5.0,72.0,19.0,2.0,30921.86,66.3,39.0,Individual,2.0,0.0,669.0
Fully Paid,Oct-2018,6000.0,15000.0, 36 months,10.05,483.44,E,E1,5 years,RENT,65871.28,Verified,other,CA,2.51,2.0,Jul-2006,680.0,1.0,73.0,5.0,1.0,32524.98,95.5,57.0,Individual,2.0,1.0,684.0
Fully Paid,Oct-2017,12500.0,18500.0, 36 months,17.17,1395.99,F,A5,5 years,RENT,56425.82,Verified,other,FL,0.15,1.0,Sep-1996,765.0,3.0,89.0,9.0,2.0,820.72,18.8,8.0,Joint App,0.0,0.0,769.0
Current,Mar-2012,14500.0,7500.0, 60 months,12.71,168.68,D,G3,< 1 year,MORTGAGE,76269.3,Not Verified,home_improvement,FL,12.99,3.0,Sep-1996,780.0,2.0,28.0,24.0,2.0,57564.01,61.9,43.0,Individual,2.0,1.0,784.0
Fully Paid,Aug-2013,27000.0,37500.0, 60 months,25.68,1491.58,F,G4,10+ years,OWN,70299.8,Source Verified,other,FL,23.58,2.0,Feb-2003,675.0,2.0,21.0,29.0,0.0,34536.37,82.9,36.0,Individual,2.0,0.0,679.0
Fully Paid,Aug-2017,39500.0,34000.0, 60 months,28.53,1162.03,C,G1,3 years,RENT,49865.23,Verified,home_improvement,CA,18.21,2.0,Jun-2002,830.0,5.0,41.0,9.0,2.0,35349.49,50.9,13.0,Joint App,4.0,1.0,834.0
Fully Paid,May-2012,34000.0,34500.0, 36 months,25.85,167.11,D,G5,5 years,RENT,43646.92,Not Verified,home_improvement,NY,12.07,2.0,Jan-2001,675.0,4.0,57.0,13.0,1.0,12688.27,36.2,15.0,Joint App,1.0,0.0,679.0
Fully Paid,Nov-2017,8000.0,13500.0, 60 months,12.11,994.66,B,G1,1 year,OWN,51673.44,Not Verified,home_improvement,FL,39.65,1.0,Aug-1994,785.0,5.0,89.0,27.0,2.0,45899.23,98.5,19.0,Joint App,1.0,0.0,789.0
Current,Dec-2013,1500.0,13500.0, 60 months,12.32,80.24,E,F5,10+ years,OWN,119281.96,Verified,other,IL,37.58,3.0,Dec-1991,805.0,2.0,30.0,6.0,2.0,44235.87,14.1,42.0,Individual,0.0,0.0,809.0
Current,Apr-2018,3000.0,34500.0, 60 months,11.82,1162.17,B,A4,10+ years,RENT,38591.81,Verified,debt_consolidation,IL,5.03,0.0,Apr-2008,755.0,1.0,67.0,9.0,0.0,5709.48,41.1,20.0,Individual,2.0,1.0,759.0
Fully Paid,Jan-2014,24500.0,22500.0, 36 months,8.76,1204.86,E,D2,3 years,MORTGAGE,57659.83,Verified,home_improvement,CA,16.6,2.0,Jul-2007,750.0,2.0,0.0,3.0,2.0,35699.66,87.3,50.0,Individual,3.0,0.0,754.0
Current,Dec-2014,7000.0,28500.0, 60 months,29.46,915.54,F,B1,< 1 year,OWN,66836.55,Not Verified,credit_card,TX,25.95,0.0,Oct-2007,680.0,3.0,3.0,8.0,0.0,39491.62,90.0,24.0,Individual,1.0,1.0,684.0
Current,Jul-2016,10000.0,20000.0, 60 months,15.59,1289.58,G,B4,10+ years,RENT,152696.96,Verified,other,CA,29.34,1.0,Apr-2000,700.0,2.0,116.0,19.0,0.0,50134.09,98.0,10.0,Individual,3.0,1.0,704.0
Fully Paid,Nov-2012,34000.0,18000.0, 36 months,11.05,173.89,G,F1,10+ years,MORTGAGE,50001.84,Not Verified,debt_consolidation,IL,14.65,2.0,Oct-2007,815.0,2.0,102.0,11.0,0.0,12365.47,88.5,9.0,Joint App,4.0,0.0,819.0
Current,Oct-2015,35500.0,25500.0, 36 months,26.97,435.61,A,F4,3 years,MORTGAGE,106434.39,Source Verified,home_improvement,CA,29.85,1.0,Jul-1999,720.0,0.0,103.0,29.0,0.0,52658.09,5.1,26.0,Individual,0.0,1.0,724.0
Fully Paid,Jun-2015,34000.0,33000.0, 60 months,15.52,638.84,A,D4,3 years,RENT,125390.44,Source Verified,debt_consolidation,IL,4.97,3.0,Jul-1991,665.0,3.0,39.0,26.0,2.0,27688.86,93.0,26.0,Joint App,2.0,1.0,669.0
Current,May-2017,11000.0,14000.0, 36 months,6.2,92.41,G,F2,1 year,RENT,57627.05,Not Verified,other,CA,13.27,2.0,Dec-1993,790.0,4.0,61.0,27.0,0.0,5791.42,42.8,45.0,Joint App,3.0,0.0,794.0
Charged Off,Oct-2018,25000.0,32500.0, 36 months,9.45,688.88,C,A2,< 1 year,RENT,52763.17,Not Verified,other,CA,28.66,1.0,Jun-1995,785.0,3.0,80.0,22.0,1.0,6337.27,65.2,30.0,Individual,0.0,1.0,789.0
Charged Off,Jul-2016,25000.0,10500.0, 60 months,21.66,419.86,A,B2,10+ years,MORTGAGE,49146.84,Verified,debt_consolidation,IL,25.03,1.0,Jul-1997,670.0,5.0,30.0,21.0,1.0,11868.27,39.4,13.0,Joint App,0.0,1.0,674.0
Fully Paid,Oct-2014,8000.0,16500.0, 36 months,25.34,607.32,C,G2,3 years,OWN,51354.41,Verified,other,TX,33.49,2.0,Nov-2008,665.0,5.0,89.0,16.0,2.0,16965.04,81.4,15.0,Joint App,1.0,0.0,669.0
Current,Oct-2014,22500.0,37000.0, 36 months,10.7,654.9,F,D1,1 year,MORTGAGE,99961.85,Verified,credit_card,TX,1.87,3.0,Sep-1996,680.0,5.0,83.0,29.0,1.0,29784.35,57.6,35.0,Individual,0.0,1.0,684.0
Fully Paid,Nov-2014,21500.0,38500.0, 36 months,28.79,1322.74,C,D2,5 years,OWN,68775.72,Not Verified,other,FL,6.98,1.0,Apr-2002,665.0,0.0,48.0,4.0,1.0,44925.07,84.6,22.0,Individual,1.0,0.0,669.0
Fully Paid,Jul-2017,16500.0,37000.0, 60 months,27.09,427.4,A,D4,< 1 year,OWN,68952.55,Source Verified,home_improvement,NY,1.94,2.0,Jun-1995,770.0,5.0,52.0,22.0,2.0,11203.55,19.4,41.0,Joint App,0.0,0.0,774.0
Fully Paid,Mar-2014,30500.0,13000.0, 36 months,27.02,1343.8,F,B2,< 1 year,OWN,30481.22,Verified,debt_consolidation,FL,7.68,2.0,Dec-2002,680.0,2.0,36.0,5.0,1.0,59559.11,18.5,55.0,Individual,4.0,1.0,684.0
Current,Feb-2013,27500.0,34000.0, 60 months,11.13,656.18,B,F4,1 year,MORTGAGE,33506.88,Verified,debt_consolidation,TX,0.17,0.0,May-2001,770.0,2.0,96.0,11.0,2.0,9691.32,44.0,23.0,Individual,2.0,0.0,774.0
Fully Paid,Apr-2014,22000.0,37500.0, 36 months,6.59,511.88,C,F5,3 years,OWN,216656.43,Source Verified,credit_card,NY,20.17,3.0,Jan-1993,690.0,2.0,118.0,9.0,2.0,35962.68,0.5,34.0,Individual,1.0,0.0,694.0
Current,Feb-2012,29500.0,39500.0, 60 months,27.51,768.69,A,E4,1 year,MORTGAGE,53814.84,Not Verified,debt_consolidation,NY,21.13,2.0,Apr-1999,835.0,1.0,119.0,18.0,2.0,55736.43,69.3,50.0,Individual,3.0,0.0,839.0
Charged Off,Sep-2012,31000.0,1500.0, 60 months,13.13,644.08,E,C3,< 1 year,MORTGAGE,37614.2,Source Verified,debt_consolidation,CA,26.32,0.0,Feb-1992,790.0,5.0,92.0,24.0,0.0,49950.45,29.6,15.0,Individual,0.0,1.0,794.0
Fully Paid,Aug-2012,23000.0,30000.0, 60 months,21.14,408.34,D,E2,1 year,MORTGAGE,141302.67,Not Verified,other,NY,15.4,2.0,Nov-2007,725.0,3.0,41.0,4.0,0.0,38873.35,55.7,32.0,Joint App,2.0,1.0,729.0
Fully Paid,Apr-2017,11500.0,40000.0, 60 months,24.76,768.94,G,G5,1 year,MORTGAGE,70904.21,Not Verified,other,TX,0.13,2.0,Feb-2004,735.0,5.0,93.0,18.0,1.0,42929.58,7.0,21.0,Joint App,3.0,1.0,739.0
Fully Paid,Dec-2016,30500.0,31000.0, 36 months,8.58,253.15,C,E2,3 years,OWN,84701.87,Not Verified,credit_card,CA,26.96,3.0,Nov-2008,670.0,5.0,29.0,8.0,1.0,8052.34,17.1,39.0,Joint App,4.0,0.0,674.0
Charged Off,Oct-2016,29000.0,10000.0, 60 months,25.29,547.34,B,D3,3 years,RENT,55114.7,Source Verified,debt_consolidation,CA,2.17,0.0,Aug-2007,670.0,2.0,107.0,4.0,0.0,579.78,62.3,45.0,Joint App,1.0,0.0,674.0
Current,Feb-2015,39500.0,31000.0, 60 months,29.33,861.71,B,B3,10+ years,OWN,49453.9,Not Verified,debt_consolidation,FL,34.65,1.0,May-1994,755.0,4.0,32.0,13.0,1.0,26048.93,30.6,11.0,Joint App,2.0,0.0,759.0
Fully Paid,Nov-2016,6500.0,5000.0, 60 months,23.95,637.71,B,D4,10+ years,MORTGAGE,54081.54,Not Verified,other,TX,0.91,0.0,Mar-2004,660.0,3.0,48.0,18.0,0.0,5371.14,21.5,14.0,Joint App,3.0,0.0,664.0
Current,Feb-2013,17500.0,19500.0, 60 months,16.6,1241.15,D,C3,1 year,MORTGAGE,26117.4,Source Verified,credit_card,CA,21.22,2.0,Jan-1992,775.0,2.0,11.0,7.0,0.0,21465.15,22.9,5.0,Individual,3.0,1.0,779.0
Fully Paid,Feb-2018,37500.0,25500.0, 60 months,27.74,407.38,A,E4,10+ years,OWN,56797.27,Source Verified,debt_consolidation,FL,35.8,2.0,Apr-2009,730.0,4.0,9.0,12.0,2.0,13424.57,21.5,4.0,Individual,0.0,0.0,734.0
Current,Jun-2015,21000.0,19000.0, 36 months,18.8,1455.56,C,A5,3 years,RENT,71511.95,Not Verified,credit_card,FL,22.9,1.0,Oct-2005,685.0,4.0,47.0,28.0,0.0,54980.8,62.3,6.0,Individual,4.0,1.0,689.0
Current,May-2018,38000.0,28500.0, 36 months,24.37,1183.54,F,B2,< 1 year,OWN,181730.11,Source Verified,credit_card,CA,24.34,3.0,Aug-2003,755.0,5.0,66.0,11.0,2.0,52803.36,16.8,43.0,Joint App,1.0,0.0,759.0
Current,Jan-2013,1000.0,10000.0, 36 months,26.3,1452.36,F,F5,1 year,MORTGAGE,63044.71,Verified,home_improvement,NY,27.26,2.0,Dec-2009,760.0,4.0,2.0,29.0,1.0,49136.57,36.3,54.0,Joint App,1.0,0.0,764.0
Charged Off,May-2015,2000.0,24500.0, 36 months,24.48,1262.06,E,C1,5 years,RENT,14757.31,Not Verified,credit_card,NY,4.9,1.0,Jan-2007,795.0,3.0,101.0,25.0,2.0,42836.66,68.8,26.0,Joint App,0.0,1.0,799.0
Current,Oct-2016,32000.0,26000.0, 60 months,12.67,238.89,G,D5,10+ years,RENT,56591.2,Verified,other,FL,27.0,0.0,May-2007,695.0,5.0,13.0,12.0,0.0,9244.32,51.4,53.0,Individual,0.0,1.0,699.0
Fully Paid,May-2015,15000.0,26000.0, 60 months,8.32,803.9,F,D1,1 year,RENT,309806.28,Not Verified,home_improvement,CA,35.21,1.0,Jan-1992,760.0,0.0,119.0,18.0,2.0,2902.05,59.7,44.0,Individual,1.0,0.0,764.0
Fully Paid,Jan-2015,21500.0,12000.0, 36 months,11.4,279.87,E,D5,< 1 year,MORTGAGE,100691.81,Source Verified,other,IL,38.97,3.0,Jun-1990,815.0,4.0,32.0,21.0,1.0,39233.27,25.1,49.0,Individual,0.0,0.0,819.0
Fully Paid,Feb-2013,17500.0,13000.0, 36 months,18.17,1232.79,G,F2,< 1 year,OWN,36807.86,Source Verified,credit_card,NY,17.72,1.0,Apr-2009,705.0,2.0,45.0,15.0,2.0,38535.49,93.3,45.0,Individual,3.0,0.0,709.0
Fully Paid,Aug-2014,17000.0,11000.0, 60 months,18.24,888.72,A,B5,< 1 year,RENT,85362.65,Verified,home_improvement,CA,13.78,3.0,Jan-1995,810.0,2.0,19.0,13.0,0.0,22165.46,41.4,15.0,Joint App,2.0,1.0,814.0
Current,Aug-2013,38000.0,19000.0, 60 months,20.22,417.27,F,F1,5 years,RENT,38360.82,Source Verified,credit_card,IL,30.13,2.0,Jul-1998,790.0,4.0,98.0,11.0,2.0,28361.2,28.7,33.0,Individual,1.0,1.0,794.0
Charged Off,Jan-2014,4500.0,24000.0, 60 months,15.41,1396.51,C,B3,3 years,RENT,26574.72,Not Verified,home_improvement,CA,21.71,2.0,Nov-1990,735.0,1.0,87.0,5.0,0.0,29348.96,90.4,33.0,Joint App,2.0,1.0,739.0
Current,Sep-2016,31500.0,15000.0, 60 months,25.44,199.32,F,C5,3 years,OWN,48580.54,Verified,home_improvement,CA,10.29,1.0,Jul-2002,820.0,5.0,9.0,2.0,1.0,14395.69,65.5,39.0,Joint App,3.0,1.0,824.0
Fully Paid,Apr-2016,36000.0,17000.0, 60 months,28.68,858.88,G,E1,5 years,MORTGAGE,63254.14,Not Verified,credit_card,IL,6.89,2.0,Jun-2006,835.0,2.0,12.0,11.0,0.0,18850.0,61.4,48.0,Individual,0.0,1.0,839.0
Current,Feb-2016,26500.0,12000.0, 60 months,11.62,1089.93,D,G2,10+ years,OWN,19471.49,Not Verified,other,TX,6.81,0.0,Nov-2006,700.0,2.0,73.0,24.0,2.0,25103.37,88.7,10.0,Joint App,1.0,0.0,704.0
Fully Paid,Jun-2014,16500.0,9500.0, 36 months,24.15,116.51,A,B1,5 years,MORTGAGE,30046.59,Not Verified,other,TX,18.37,0.0,Sep-2001,840.0,1.0,103.0,8.0,1.0,36190.74,5.9,41.0,Individual,4.0,0.0,844.0
Fully Paid,Jul-2018,7000.0,26500.0, 60 months,22.66,908.85,C,E2,< 1 year,MORTGAGE,60246.6,Source Verified,other,FL,6.8,1.0,Apr-2003,660.0,2.0,13.0,7.0,2.0,57349.15,83.8,50.0,Individual,0.0,1.0,664.0
Current,Aug-2012,27500.0,33000.0, 36 months,18.69,1229.37,C,A2,3 years,MORTGAGE,46868.27,Verified,debt_consolidation,FL,0.79,2.0,Apr-2000,680.0,5.0,26.0,11.0,1.0,32309.08,67.8,10.0,Joint App,4.0,0.0,684.0
Current,May-2014,19500.0,12000.0, 36 months,10.13,129.27,G,A4,10+ years,RENT,75878.36,Not Verified,home_improvement,FL,2.08,2.0,Dec-1998,665.0,0.0,65.0,18.0,0.0,43869.83,36.0,27.0,Joint App,4.0,0.0,669.0
Charged Off,Oct-2012,6500.0,34500.0, 36 months,25.66,783.0,G,F2,5 years,MORTGAGE,28888.5,Source Verified,debt_consolidation,CA,37.2,1.0,Feb-2001,725.0,3.0,13.0,8.0,1.0,48420.07,25.6,54.0,Individual,1.0,1.0,729.0
Fully Paid,Apr-2014,15000.0,23500.0, 36 months,29.89,410.08,D,F1,1 year,RENT,91901.1,Source Verified,debt_consolidation,TX,2.92,1.0,Oct-2008,830.0,5.0,36.0,8.0,1.0,6810.49,10.5,5.0,Joint App,1.0,1.0,834.0
Charged Off,Jul-2018,38500.0,7500.0, 36 months,23.78,1004.5,G,C1,1 year,OWN,29429.26,Not Verified,other,NY,2.93,2.0,Jan-1995,770.0,2.0,1.0,5.0,0.0,39187.48,94.1,12.0,Individual,1.0,0.0,774.0
Fully Paid,Jul-2014,11000.0,15000.0, 60 months,28.8,204.46,D,E5,10+ years,MORTGAGE,160434.43,Not Verified,debt_consolidation,IL,18.05,2.0,Jun-1999,770.0,3.0,59.0,11.0,2.0,28926.64,14.2,49.0,Individual,2.0,1.0,774.0
Current,Mar-2018,8000.0,1000.0, 60 months,30.5,1407.47,C,C5,< 1 year,RENT,21387.14,Verified,other,TX,9.8,0.0,Jan-2002,675.0,2.0,85.0,8.0,2.0,34345.86,25.9,13.0,Individual,1.0,1.0,679.0
Current,May-2015,27500.0,2500.0, 36 months,14.31,1345.25,F,B2,3 years,RENT,31084.59,Not Verified,credit_card,CA,38.51,1.0,Jun-2001,755.0,0.0,49.0,25.0,1.0,2305.02,69.1,43.0,Individual,3.0,0.0,759.0
Fully Paid,Oct-2016,8500.0,14000.0, 60 months,21.64,303.38,E,D1,< 1 year,RENT,76912.41,Source Verified,credit_card,IL,36.44,2.0,Aug-1990,730.0,3.0,30.0,27.0,1.0,54372.94,71.0,54.0,Joint App,1.0,0.0,734.0
