CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Avg_Open_To_Buy,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2
768800129,Existing Customer,57.0,M,1.0,High School,Unknown,$120K +,Silver,28.0,4.0,0.0,2.0,33003.3,1084.0,3.089,3393.0,65.0,3.613,0.304,31919.3,0.939989,0.060011
768800130,Existing Customer,45.0,F,4.0,Unknown,Single,$60K - $80K,Blue,19.0,2.0,3.0,0.0,10922.9,780.0,2.486,10639.0,13.0,1.109,0.421,10142.9,0.935451,0.064549
768800131,Attrited Customer,58.0,F,5.0,Doctorate,Single,$60K - $80K,Platinum,25.0,3.0,3.0,3.0,30092.7,982.0,2.131,12383.0,12.0,0.648,0.18,29110.7,0.128238,0.871762
768800132,Existing Customer,64.0,M,3.0,Unknown,Unknown,Less than $40K,Gold,25.0,3.0,3.0,6.0,31948.8,2495.0,1.453,18167.0,38.0,0.812,0.421,29453.8,0.976169,0.023831
768800133,Existing Customer,62.0,F,2.0,College,Married,$80K - $120K,Gold,20.0,1.0,1.0,2.0,19856.9,1077.0,1.735,14081.0,40.0,1.768,0.071,18779.9,0.915883,0.084117
768800134,Existing Customer,55.0,M,2.0,High School,Divorced,$120K +,Platinum,17.0,5.0,5.0,4.0,8142.2,198.0,1.732,4318.0,103.0,3.236,0.113,7944.2,0.958493,0.041507
768800135,Existing Customer,28.0,F,4.0,High School,Married,$60K - $80K,Platinum,46.0,1.0,4.0,1.0,24104.6,704.0,0.069,1177.0,75.0,1.85,0.669,23400.6,0.852583,0.147417
768800136,Attrited Customer,60.0,M,3.0,Uneducated,Divorced,$60K - $80K,Platinum,49.0,3.0,1.0,1.0,19597.1,366.0,1.71,11899.0,139.0,0.205,0.263,19231.1,0.191378,0.808622
768800137,Existing Customer,43.0,F,0.0,Doctorate,Single,$60K - $80K,Silver,34.0,4.0,3.0,5.0,32681.2,1726.0,2.91,10463.0,80.0,0.148,0.711,30955.2,0.94049,0.05951
768800138,Existing Customer,61.0,M,3.0,High School,Single,Less than $40K,Platinum,40.0,1.0,0.0,0.0,15968.2,2015.0,2.412,17078.0,127.0,0.841,0.048,13953.2,0.958777,0.041223
768800139,Existing Customer,51.0,M,2.0,Unknown,Single,$80K - $120K,Gold,53.0,6.0,6.0,3.0,10319.9,2117.0,2.705,10861.0,81.0,3.118,0.563,8202.9,0.877207,0.122793
768800140,Existing Customer,68.0,F,4.0,Graduate,Single,$80K - $120K,Gold,50.0,3.0,5.0,2.0,6012.3,1593.0,1.328,9519.0,56.0,2.299,0.391,4419.3,0.804738,0.195262
768800141,Existing Customer,42.0,M,5.0,Uneducated,Single,$120K +,Platinum,14.0,1.0,2.0,0.0,24547.4,1935.0,1.799,5964.0,102.0,2.083,0.797,22612.4,0.963651,0.036349
768800142,Attrited Customer,70.0,M,5.0,Graduate,Single,$120K +,Blue,54.0,4.0,4.0,3.0,33659.6,1050.0,0.114,2060.0,68.0,1.18,0.784,32609.6,0.019176,0.980824
768800143,Existing Customer,66.0,F,3.0,Uneducated,Divorced,$60K - $80K,Silver,15.0,4.0,4.0,6.0,2375.6,1580.0,1.302,16262.0,45.0,3.439,0.376,795.6,0.867806,0.132194
768800144,Existing Customer,41.0,M,2.0,Uneducated,Unknown,$120K +,Blue,14.0,4.0,4.0,0.0,25930.5,269.0,1.613,15358.0,71.0,1.225,0.623,25661.5,0.925646,0.074354
768800145,Existing Customer,49.0,M,2.0,High School,Divorced,$60K - $80K,Silver,30.0,5.0,0.0,5.0,32099.0,1355.0,0.868,3435.0,96.0,3.089,0.228,30744.0,0.819991,0.180009
768800146,Existing Customer,51.0,M,1.0,College,Divorced,$80K - $120K,Silver,45.0,3.0,6.0,3.0,3911.6,1403.0,0.106,13162.0,58.0,3.315,0.58,2508.6,0.814399,0.185601
768800147,Existing Customer,62.0,F,5.0,Doctorate,Unknown,$80K - $120K,Platinum,16.0,5.0,6.0,5.0,5082.2,78.0,2.347,7056.0,101.0,1.788,0.081,5004.2,0.805141,0.194859
768800148,Existing Customer,59.0,F,5.0,Unknown,Unknown,$120K +,Platinum,25.0,3.0,6.0,0.0,24326.6,1380.0,1.479,8365.0,137.0,3.309,0.435,22946.6,0.983328,0.016672
768800149,Existing Customer,66.0,F,5.0,Graduate,Married,$80K - $120K,Silver,24.0,4.0,6.0,6.0,22871.3,1820.0,1.413,15764.0,63.0,1.024,0.183,21051.3,0.862277,0.137723
768800150,Existing Customer,43.0,M,1.0,Unknown,Divorced,Less than $40K,Silver,30.0,1.0,6.0,0.0,3714.7,925.0,0.85,15645.0,48.0,2.436,0.883,2789.7,0.932132,0.067868
768800151,Attrited Customer,50.0,M,1.0,Unknown,Married,Less than $40K,Gold,56.0,4.0,5.0,6.0,29039.0,1372.0,1.829,3936.0,62.0,0.325,0.445,27667.0,0.144192,0.855808
768800152,Existing Customer,46.0,M,5.0,Unknown,Married,$60K - $80K,Platinum,27.0,2.0,0.0,4.0,18751.8,720.0,1.489,6039.0,118.0,1.754,0.591,18031.8,0.93389,0.06611
768800153,Existing Customer,69.0,F,3.0,Uneducated,Unknown,$60K - $80K,Platinum,22.0,5.0,3.0,2.0,31446.3,681.0,1.612,15274.0,33.0,0.804,0.36,30765.3,0.905019,0.094981
768800154,Existing Customer,40.0,M,4.0,Unknown,Married,$80K - $120K,Blue,18.0,5.0,1.0,0.0,30480.2,326.0,1.975,16992.0,136.0,0.232,0.289,30154.2,0.904184,0.095816
768800155,Existing Customer,54.0,M,2.0,College,Unknown,$60K - $80K,Blue,21.0,6.0,1.0,4.0,28314.1,825.0,0.022,1931.0,63.0,0.014,0.203,27489.1,0.875383,0.124617
768800156,Existing Customer,31.0,F,2.0,High School,Unknown,$60K - $80K,Gold,18.0,6.0,5.0,0.0,18502.9,2022.0,3.086,15493.0,119.0,1.202,0.912,16480.9,0.919956,0.080044
768800157,Existing Customer,66.0,F,3.0,Graduate,Unknown,$120K +,Silver,38.0,1.0,5.0,4.0,9764.1,2355.0,0.242,9303.0,112.0,2.181,0.799,7409.1,0.991758,0.008242
768800158,Existing Customer,44.0,F,4.0,Doctorate,Divorced,$40K - $60K,Blue,31.0,1.0,3.0,5.0,18174.7,1600.0,1.533,11120.0,111.0,1.684,0.133,16574.7,0.957609,0.042391
768800159,Existing Customer,42.0,M,2.0,High School,Unknown,$60K - $80K,Blue,34.0,6.0,5.0,1.0,4772.6,1572.0,0.705,1864.0,128.0,1.117,0.747,3200.6,0.884845,0.115155
768800160,Existing Customer,53.0,F,4.0,Uneducated,Married,$60K - $80K,Silver,49.0,3.0,0.0,1.0,23231.3,1545.0,1.781,12739.0,34.0,3.667,0.419,21686.3,0.866489,0.133511
768800161,Attrited Customer,49.0,F,1.0,Doctorate,Unknown,$60K - $80K,Silver,38.0,1.0,1.0,1.0,5869.7,1198.0,0.953,12695.0,87.0,3.476,0.015,4671.7,0.112369,0.887631
768800162,Existing Customer,66.0,M,2.0,High School,Married,$120K +,Gold,19.0,2.0,6.0,1.0,18346.6,1065.0,2.924,12422.0,22.0,0.465,0.528,17281.6,0.827157,0.172843
768800163,Existing Customer,51.0,F,5.0,Uneducated,Single,$120K +,Blue,29.0,6.0,3.0,0.0,3236.8,1563.0,1.348,14721.0,48.0,1.536,0.13,1673.8,0.969917,0.030083
768800164,Existing Customer,50.0,F,5.0,Graduate,Married,$60K - $80K,Gold,26.0,3.0,3.0,1.0,11345.3,1975.0,2.172,17515.0,15.0,2.401,0.21,9370.3,0.851015,0.148985
768800165,Existing Customer,31.0,M,5.0,College,Single,$60K - $80K,Gold,49.0,1.0,3.0,4.0,9114.8,1041.0,0.846,15786.0,98.0,2.714,0.696,8073.8,0.943126,0.056874
768800166,Existing Customer,27.0,F,1.0,Graduate,Divorced,$60K - $80K,Silver,26.0,5.0,1.0,2.0,21947.4,1424.0,0.066,13897.0,89.0,1.356,0.257,20523.4,0.961244,0.038756
768800167,Existing Customer,45.0,F,5.0,Unknown,Single,Less than $40K,Blue,19.0,2.0,5.0,5.0,27463.3,1183.0,1.374,18148.0,106.0,2.761,0.892,26280.3,0.895399,0.104601
768800168,Existing Customer,73.0,F,5.0,High School,Unknown,$60K - $80K,Gold,45.0,3.0,5.0,5.0,3333.5,718.0,1.824,12634.0,32.0,0.459,0.657,2615.5,0.838457,0.161543
768800169,Attrited Customer,70.0,F,5.0,Unknown,Divorced,$40K - $60K,Gold,31.0,1.0,4.0,5.0,29563.7,730.0,1.562,12589.0,53.0,1.228,0.832,28833.7,0.139709,0.860291
768800170,Existing Customer,56.0,F,0.0,Doctorate,Divorced,Less than $40K,Silver,17.0,4.0,2.0,3.0,29910.5,198.0,3.271,10253.0,97.0,2.651,0.615,29712.5,0.873502,0.126498
768800171,Existing Customer,56.0,F,4.0,Unknown,Unknown,Less than $40K,Silver,43.0,3.0,4.0,2.0,12759.6,1107.0,2.403,14333.0,117.0,2.315,0.869,11652.6,0.864136,0.135864
768800172,Existing Customer,44.0,M,5.0,Unknown,Single,$60K - $80K,Gold,22.0,6.0,6.0,6.0,23236.5,1793.0,3.385,1792.0,125.0,3.098,0.362,21443.5,0.902003,0.097997
768800173,Attrited Customer,34.0,F,4.0,Graduate,Single,Less than $40K,Silver,51.0,3.0,4.0,1.0,14755.6,1726.0,1.003,9601.0,19.0,0.173,0.549,13029.6,0.085623,0.914377
768800174,Existing Customer,26.0,F,1.0,Unknown,Unknown,$80K - $120K,Silver,49.0,2.0,3.0,3.0,6538.3,2481.0,2.683,8155.0,62.0,0.645,0.516,4057.3,0.93661,0.06339
768800175,Existing Customer,42.0,F,4.0,College,Divorced,$60K - $80K,Silver,29.0,1.0,1.0,3.0,18925.1,100.0,1.889,16916.0,11.0,0.179,0.904,18825.1,0.82744,0.17256
768800176,Existing Customer,41.0,M,0.0,Unknown,Divorced,$40K - $60K,Silver,37.0,2.0,3.0,5.0,4294.6,1915.0,2.08,1814.0,116.0,0.711,0.165,2379.6,0.887138,0.112862
768800177,Attrited Customer,35.0,M,2.0,Unknown,Single,$80K - $120K,Gold,37.0,3.0,2.0,3.0,30496.1,2001.0,3.352,12081.0,25.0,0.016,0.578,28495.1,0.071837,0.928163
768800178,Attrited Customer,38.0,F,3.0,College,Married,$60K - $80K,Silver,41.0,1.0,4.0,5.0,32011.7,1098.0,2.224,3823.0,116.0,1.866,0.754,30913.7,0.0743,0.9257
768800179,Existing Customer,27.0,F,2.0,Uneducated,Married,$80K - $120K,Silver,16.0,3.0,0.0,6.0,28615.3,712.0,3.056,16391.0,30.0,1.955,0.37,27903.3,0.891468,0.108532
768800180,Attrited Customer,55.0,F,4.0,High School,Married,$80K - $120K,Gold,27.0,6.0,1.0,2.0,20045.3,899.0,2.468,15822.0,11.0,2.434,0.868,19146.3,0.007342,0.992658
768800181,Attrited Customer,70.0,M,1.0,High School,Married,Less than $40K,Silver,20.0,5.0,5.0,6.0,19882.2,1718.0,0.433,4742.0,124.0,1.424,0.373,18164.2,0.105563,0.894437
768800182,Existing Customer,59.0,M,3.0,Uneducated,Divorced,$40K - $60K,Blue,43.0,4.0,2.0,1.0,34006.8,2170.0,2.378,16178.0,67.0,0.012,0.173,31836.8,0.918757,0.081243
768800183,Existing Customer,47.0,F,3.0,Doctorate,Married,$60K - $80K,Platinum,16.0,6.0,3.0,6.0,9638.1,1618.0,1.647,9438.0,65.0,2.493,0.584,8020.1,0.964897,0.035103
768800184,Existing Customer,46.0,M,3.0,College,Divorced,$120K +,Blue,35.0,5.0,3.0,1.0,3950.2,1294.0,3.124,17964.0,94.0,0.201,0.421,2656.2,0.844538,0.155462
768800185,Existing Customer,40.0,F,1.0,Uneducated,Unknown,Less than $40K,Gold,45.0,4.0,3.0,5.0,20025.9,1643.0,2.743,13628.0,45.0,3.205,0.015,18382.9,0.870562,0.129438
768800186,Existing Customer,32.0,M,1.0,Graduate,Unknown,Less than $40K,Silver,54.0,6.0,5.0,2.0,12313.6,177.0,0.354,1129.0,99.0,0.084,0.07,12136.6,0.988426,0.011574
768800187,Existing Customer,54.0,M,1.0,College,Single,$120K +,Blue,25.0,1.0,1.0,6.0,12100.3,1531.0,0.455,4153.0,65.0,1.963,0.195,10569.3,0.977195,0.022805
768800188,Existing Customer,53.0,F,2.0,College,Married,$120K +,Blue,13.0,5.0,5.0,0.0,1672.4,106.0,0.237,7764.0,45.0,3.311,0.769,1566.4,0.911591,0.088409
768800189,Existing Customer,26.0,M,3.0,Unknown,Unknown,Less than $40K,Platinum,44.0,2.0,1.0,3.0,21160.4,2415.0,1.677,4308.0,61.0,2.118,0.892,18745.4,0.895098,0.104902
768800190,Attrited Customer,45.0,F,2.0,Doctorate,Married,$60K - $80K,Silver,13.0,5.0,2.0,6.0,10171.7,2239.0,0.275,2890.0,10.0,2.251,0.546,7932.7,0.167958,0.832042
768800191,Existing Customer,39.0,F,2.0,College,Divorced,$80K - $120K,Silver,15.0,6.0,4.0,0.0,7652.0,1280.0,2.461,18090.0,49.0,2.522,0.106,6372.0,0.811758,0.188242
768800192,Existing Customer,34.0,F,1.0,Unknown,Divorced,Less than $40K,Gold,56.0,3.0,6.0,1.0,2775.4,941.0,1.878,16131.0,86.0,0.453,0.534,1834.4,0.978475,0.021525
768800193,Existing Customer,59.0,M,1.0,Uneducated,Married,$40K - $60K,Blue,50.0,1.0,1.0,0.0,13490.4,1843.0,2.842,8322.0,27.0,2.497,0.856,11647.4,0.96363,0.03637
768800194,Existing Customer,51.0,M,3.0,Unknown,Divorced,$40K - $60K,Gold,44.0,3.0,4.0,2.0,30512.5,1605.0,0.951,4375.0,25.0,3.257,0.749,28907.5,0.89125,0.10875
768800195,Existing Customer,56.0,F,4.0,Uneducated,Married,$80K - $120K,Silver,49.0,3.0,0.0,2.0,12574.4,1776.0,1.765,3778.0,95.0,3.605,0.291,10798.4,0.855888,0.144112
768800196,Existing Customer,60.0,M,1.0,High School,Married,$40K - $60K,Gold,16.0,6.0,0.0,4.0,23900.4,1298.0,0.399,16971.0,65.0,1.639,0.124,22602.4,0.868584,0.131416
768800197,Attrited Customer,73.0,M,5.0,Uneducated,Unknown,$60K - $80K,Blue,16.0,6.0,5.0,1.0,26463.1,594.0,3.008,6468.0,27.0,1.275,0.901,25869.1,0.029743,0.970257
768800198,Existing Customer,64.0,M,3.0,High School,Unknown,$40K - $60K,Platinum,26.0,4.0,5.0,1.0,12290.9,184.0,0.595,736.0,107.0,2.787,0.854,12106.9,0.944358,0.055642
768800199,Existing Customer,55.0,F,1.0,High School,Single,$80K - $120K,Blue,14.0,6.0,2.0,1.0,28616.2,713.0,0.348,7652.0,110.0,2.009,0.054,27903.2,0.911334,0.088666
768800200,Existing Customer,68.0,M,2.0,Unknown,Unknown,Less than $40K,Gold,52.0,3.0,4.0,6.0,24324.0,1332.0,0.697,8676.0,14.0,0.952,0.824,22992.0,0.846821,0.153179
768800201,Attrited Customer,48.0,M,0.0,Doctorate,Unknown,$40K - $60K,Gold,15.0,3.0,2.0,6.0,19936.6,1067.0,2.741,11709.0,36.0,0.637,0.097,18869.6,0.099665,0.900335
768800202,Existing Customer,73.0,F,0.0,Graduate,Unknown,$40K - $60K,Silver,36.0,6.0,1.0,1.0,1470.8,1275.0,0.36,6597.0,58.0,0.63,0.063,195.8,0.995846,0.004154
768800203,Existing Customer,62.0,M,2.0,Unknown,Married,$120K +,Blue,50.0,5.0,3.0,1.0,2598.7,699.0,2.089,17101.0,105.0,1.699,0.759,1899.7,0.824479,0.175521
768800204,Existing Customer,57.0,F,2.0,High School,Single,$120K +,Silver,45.0,4.0,2.0,0.0,34213.9,2361.0,2.537,12077.0,19.0,0.629,0.536,31852.9,0.891697,0.108303
768800205,Existing Customer,69.0,F,4.0,Graduate,Divorced,$60K - $80K,Platinum,23.0,3.0,5.0,6.0,27314.4,923.0,2.554,18243.0,114.0,0.073,0.415,26391.4,0.898832,0.101168
768800206,Existing Customer,50.0,F,0.0,Doctorate,Unknown,Less than $40K,Platinum,33.0,5.0,2.0,4.0,32450.8,2130.0,0.646,7107.0,51.0,0.193,0.904,30320.8,0.833359,0.166641
768800207,Existing Customer,60.0,F,5.0,Graduate,Unknown,$80K - $120K,Platinum,37.0,5.0,2.0,5.0,31284.4,984.0,0.21,12224.0,26.0,3.441,0.839,30300.4,0.906316,0.093684
768800208,Existing Customer,39.0,M,1.0,Doctorate,Single,$60K - $80K,Blue,46.0,3.0,3.0,2.0,2114.2,1116.0,1.526,7076.0,122.0,0.27,0.058,998.2,0.921195,0.078805
768800209,Existing Customer,72.0,M,0.0,Unknown,Married,$120K +,Gold,31.0,1.0,5.0,4.0,27630.7,1520.0,0.688,13091.0,21.0,0.271,0.616,26110.7,0.831469,0.168531
768800210,Existing Customer,55.0,M,4.0,High School,Unknown,$40K - $60K,Blue,25.0,1.0,1.0,0.0,16361.0,662.0,2.378,13913.0,26.0,1.669,0.772,15699.0,0.830945,0.169055
768800211,Existing Customer,63.0,M,4.0,High School,Single,$120K +,Gold,48.0,1.0,6.0,4.0,27555.0,553.0,1.213,6294.0,133.0,0.907,0.55,27002.0,0.97127,0.02873
768800212,Existing Customer,48.0,F,3.0,Unknown,Single,$120K +,Silver,52.0,3.0,3.0,4.0,1660.1,954.0,1.528,17364.0,77.0,3.562,0.983,706.1,0.862277,0.137723
768800213,Existing Customer,67.0,F,0.0,College,Unknown,$40K - $60K,Gold,34.0,4.0,4.0,2.0,10971.1,2025.0,0.386,15917.0,70.0,3.371,0.686,8946.1,0.926067,0.073933
768800214,Existing Customer,29.0,F,0.0,College,Divorced,$80K - $120K,Gold,14.0,5.0,6.0,4.0,26290.3,364.0,1.93,16588.0,99.0,1.498,0.104,25926.3,0.925355,0.074645
768800215,Existing Customer,31.0,F,2.0,Uneducated,Single,$40K - $60K,Platinum,35.0,2.0,3.0,4.0,27669.5,1101.0,0.631,4424.0,91.0,1.66,0.198,26568.5,0.967834,0.032166
768800216,Existing Customer,50.0,F,2.0,Uneducated,Married,$40K - $60K,Silver,52.0,5.0,1.0,3.0,21936.9,1692.0,2.309,13413.0,89.0,1.388,0.826,20244.9,0.947979,0.052021
768800217,Existing Customer,61.0,M,5.0,Doctorate,Single,$40K - $60K,Silver,56.0,4.0,5.0,1.0,11403.0,1778.0,0.242,2422.0,13.0,0.14,0.997,9625.0,0.968115,0.031885
768800218,Attrited Customer,64.0,M,1.0,College,Unknown,$80K - $120K,Gold,30.0,1.0,0.0,0.0,11704.2,1093.0,3.318,2406.0,81.0,1.084,0.098,10611.2,0.039099,0.960901
768800219,Existing Customer,47.0,F,1.0,High School,Single,$40K - $60K,Blue,19.0,3.0,3.0,6.0,33416.6,205.0,2.327,18004.0,46.0,0.454,0.1,33211.6,0.889891,0.110109
768800220,Existing Customer,57.0,M,5.0,College,Divorced,$80K - $120K,Blue,38.0,2.0,6.0,1.0,15966.3,40.0,0.618,3258.0,114.0,0.379,0.763,15926.3,0.878713,0.121287
768800221,Existing Customer,52.0,F,0.0,Doctorate,Single,$60K - $80K,Gold,49.0,6.0,2.0,2.0,16228.0,1183.0,0.048,16042.0,75.0,2.075,0.064,15045.0,0.875806,0.124194
768800222,Existing Customer,72.0,F,0.0,High School,Unknown,$80K - $120K,Platinum,54.0,6.0,4.0,4.0,19708.1,2039.0,1.137,8253.0,26.0,0.365,0.069,17669.1,0.883679,0.116321
768800223,Attrited Customer,57.0,F,2.0,Uneducated,Unknown,$120K +,Gold,15.0,5.0,3.0,1.0,14983.5,71.0,0.52,5968.0,125.0,0.381,0.889,14912.5,0.029187,0.970813
768800224,Existing Customer,46.0,F,2.0,Doctorate,Divorced,Less than $40K,Platinum,25.0,4.0,1.0,2.0,19719.3,2234.0,0.743,1831.0,46.0,1.778,0.8,17485.3,0.884792,0.115208
768800225,Attrited Customer,72.0,F,3.0,College,Unknown,$120K +,Blue,34.0,3.0,2.0,4.0,15738.8,1701.0,2.967,12646.0,45.0,1.636,0.882,14037.8,0.022686,0.977314
768800226,Existing Customer,31.0,F,5.0,High School,Divorced,Less than $40K,Silver,17.0,2.0,3.0,4.0,28784.1,20.0,2.051,13475.0,131.0,0.509,0.651,28764.1,0.806914,0.193086
768800227,Existing Customer,73.0,F,5.0,High School,Single,$60K - $80K,Gold,51.0,5.0,0.0,4.0,31507.6,865.0,0.6,8904.0,110.0,0.016,0.323,30642.6,0.855026,0.144974
768800228,Existing Customer,33.0,M,1.0,College,Divorced,$40K - $60K,Silver,17.0,1.0,2.0,0.0,32270.3,555.0,1.893,15068.0,121.0,0.714,0.906,31715.3,0.950381,0.049619
768800229,Existing Customer,39.0,M,5.0,Uneducated,Unknown,$80K - $120K,Blue,42.0,2.0,2.0,3.0,20103.8,2390.0,0.87,6318.0,96.0,0.873,0.299,17713.8,0.915589,0.084411
768800230,Existing Customer,65.0,F,3.0,Unknown,Unknown,$80K - $120K,Blue,53.0,1.0,5.0,3.0,16063.4,1396.0,3.319,10426.0,128.0,2.961,0.276,14667.4,0.961233,0.038767
768800231,Existing Customer,61.0,F,0.0,College,Married,$120K +,Platinum,43.0,3.0,0.0,4.0,24765.9,816.0,0.111,5664.0,24.0,3.387,0.886,23949.9,0.908538,0.091462
768800232,Attrited Customer,72.0,F,5.0,Unknown,Divorced,$60K - $80K,Gold,46.0,2.0,5.0,1.0,29168.1,700.0,2.49,10975.0,87.0,1.502,0.681,28468.1,0.1637,0.8363
768800233,Existing Customer,61.0,F,0.0,Graduate,Married,$120K +,Silver,24.0,2.0,2.0,1.0,20060.3,1419.0,2.628,2955.0,48.0,1.499,0.896,18641.3,0.959213,0.040787
768800234,Attrited Customer,56.0,F,3.0,Uneducated,Divorced,$40K - $60K,Silver,49.0,3.0,4.0,5.0,24592.0,12.0,0.228,9069.0,61.0,2.636,0.156,24580.0,0.070417,0.929583
768800235,Existing Customer,42.0,F,4.0,High School,Divorced,$40K - $60K,Blue,31.0,6.0,3.0,4.0,26237.5,648.0,0.584,10383.0,40.0,2.32,0.952,25589.5,0.995401,0.004599
768800236,Existing Customer,26.0,F,1.0,College,Single,$40K - $60K,Platinum,15.0,4.0,2.0,5.0,23811.8,416.0,1.307,10513.0,36.0,0.681,0.613,23395.8,0.802949,0.197051
768800237,Existing Customer,31.0,M,1.0,Graduate,Unknown,$60K - $80K,Blue,29.0,5.0,6.0,1.0,26118.6,1561.0,2.952,8537.0,67.0,0.398,0.668,24557.6,0.919368,0.080632
768800238,Existing Customer,40.0,M,2.0,Uneducated,Unknown,$80K - $120K,Platinum,28.0,6.0,1.0,6.0,8339.6,1685.0,1.826,12078.0,129.0,1.619,0.914,6654.6,0.958502,0.041498
768800239,Existing Customer,27.0,M,5.0,Uneducated,Married,$120K +,Blue,35.0,6.0,0.0,1.0,17923.2,1176.0,2.228,9716.0,92.0,2.09,0.381,16747.2,0.866379,0.133621
768800240,Existing Customer,50.0,M,1.0,Graduate,Married,$40K - $60K,Silver,24.0,3.0,5.0,4.0,20896.7,352.0,2.662,5601.0,55.0,0.513,0.72,20544.7,0.919714,0.080286
768800241,Existing Customer,63.0,F,3.0,High School,Married,$40K - $60K,Silver,33.0,6.0,4.0,1.0,1520.0,933.0,2.816,4381.0,66.0,1.085,0.64,587.0,0.872425,0.127575
768800242,Existing Customer,72.0,M,2.0,College,Unknown,$120K +,Platinum,31.0,6.0,6.0,6.0,29751.5,2122.0,1.619,12152.0,78.0,1.132,0.788,27629.5,0.812123,0.187877
768800243,Existing Customer,49.0,M,0.0,Unknown,Divorced,$60K - $80K,Blue,27.0,6.0,3.0,2.0,21616.4,512.0,1.73,17381.0,41.0,0.967,0.897,21104.4,0.801692,0.198308
768800244,Existing Customer,68.0,M,4.0,Graduate,Divorced,$40K - $60K,Silver,43.0,3.0,0.0,5.0,5709.6,411.0,2.441,14048.0,77.0,1.705,0.68,5298.6,0.818972,0.181028
768800245,Attrited Customer,73.0,F,4.0,Uneducated,Unknown,$120K +,Silver,26.0,2.0,0.0,2.0,28441.5,280.0,0.895,11988.0,100.0,2.416,0.068,28161.5,0.018234,0.981766
768800246,Existing Customer,67.0,F,3.0,Graduate,Unknown,$60K - $80K,Silver,46.0,4.0,3.0,5.0,25156.8,2056.0,2.905,17074.0,41.0,1.885,0.183,23100.8,0.922178,0.077822
768800247,Existing Customer,48.0,M,1.0,Doctorate,Married,$120K +,Blue,24.0,6.0,1.0,3.0,26521.0,301.0,0.071,16680.0,85.0,0.745,0.954,26220.0,0.905173,0.094827
768800248,Existing Customer,41.0,F,0.0,Uneducated,Married,$120K +,Platinum,51.0,6.0,6.0,0.0,14406.0,1464.0,0.666,9613.0,102.0,0.381,0.969,12942.0,0.891093,0.108907
768800249,Existing Customer,72.0,F,2.0,Unknown,Single,$120K +,Silver,29.0,4.0,0.0,1.0,29693.3,2515.0,2.721,2474.0,77.0,3.041,0.967,27178.3,0.938384,0.061616
768800250,Existing Customer,37.0,F,3.0,Graduate,Single,$60K - $80K,Silver,14.0,1.0,6.0,4.0,15133.2,1616.0,1.157,11911.0,47.0,1.773,0.037,13517.2,0.803365,0.196635
768800251,Attrited Customer,45.0,F,3.0,High School,Divorced,$80K - $120K,Silver,19.0,3.0,1.0,1.0,20309.3,1038.0,0.509,11705.0,82.0,0.23,0.382,19271.3,0.040944,0.959056
768800252,Existing Customer,29.0,F,1.0,College,Married,$120K +,Platinum,48.0,5.0,0.0,1.0,1459.2,520.0,0.635,5495.0,113.0,0.955,0.76,939.2,0.955479,0.044521
768800253,Existing Customer,64.0,M,3.0,College,Single,$40K - $60K,Silver,51.0,4.0,1.0,3.0,22769.1,4.0,1.805,15779.0,38.0,2.975,0.753,22765.1,0.981995,0.018005
768800254,Existing Customer,57.0,F,1.0,Unknown,Married,Less than $40K,Silver,22.0,3.0,1.0,1.0,25193.8,391.0,2.877,16147.0,84.0,2.781,0.086,24802.8,0.887667,0.112333
768800255,Existing Customer,30.0,M,4.0,Unknown,Married,$40K - $60K,Silver,39.0,3.0,2.0,0.0,20196.8,2399.0,0.24,6458.0,98.0,3.241,0.609,17797.8,0.816297,0.183703
768800256,Existing Customer,36.0,M,4.0,Unknown,Married,$80K - $120K,Silver,38.0,1.0,2.0,4.0,17863.2,361.0,0.104,9081.0,51.0,2.228,0.143,17502.2,0.959746,0.040254
768800257,Existing Customer,52.0,F,3.0,College,Married,$60K - $80K,Blue,18.0,2.0,3.0,4.0,28229.1,50.0,1.582,4017.0,60.0,1.565,0.493,28179.1,0.977034,0.022966
768800258,Existing Customer,51.0,F,0.0,Uneducated,Divorced,Less than $40K,Gold,32.0,5.0,3.0,5.0,23976.4,2054.0,3.251,3715.0,125.0,1.579,0.24,21922.4,0.882732,0.117268
768800259,Existing Customer,64.0,F,5.0,Uneducated,Single,$60K - $80K,Blue,43.0,2.0,0.0,6.0,10636.1,1053.0,0.949,5273.0,57.0,0.718,0.053,9583.1,0.848671,0.151329
768800260,Existing Customer,38.0,M,0.0,High School,Single,Less than $40K,Blue,55.0,6.0,0.0,0.0,33162.2,898.0,3.261,7085.0,87.0,2.408,0.08,32264.2,0.808794,0.191206
768800261,Existing Customer,70.0,M,5.0,Uneducated,Single,$60K - $80K,Blue,50.0,1.0,1.0,2.0,24833.0,1806.0,3.018,5415.0,29.0,2.165,0.911,23027.0,0.918217,0.081783
